,Accuracy on train,Accuracy on test,Precision on train,Precision on test,Recall on train,Recall on test
Logistic regression,0.8002939015429831,0.8028796708947549,0.7819548872180451,0.7883631713554987,0.8297872340425532,0.8348002708192281
Multilayer perceptron,0.8703894195444526,0.8635584504628042,0.8269733403031887,0.8186650915534555,0.9349881796690307,0.9383886255924171
Random forest,0.9204996326230712,0.895783339046966,0.8887065901011758,0.8582773365913255,0.960401891252955,0.9512525389302641
Support vector machine,0.9423952975753123,0.9009256085018855,0.9306275187104203,0.8680297397769516,0.9553782505910166,0.9485443466486121
